@relation eggDataIMP2

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute Area/Volume_Imagem numeric
@attribute Peso_fora numeric
@attribute class {Nascido,Morreu}

@data
55.953,43.160,29.601,26.352,39.848,66.654,70.392,54.573,1.673,53.600,Nascido
59.984,44.425,31.366,28.618,45.051,75.497,76.911,61.986,1.676,58.600,Morreu
57.216,44.386,29.977,27.240,38.867,69.890,74.127,59.022,1.798,55.700,Morreu
54.121,41.787,27.683,26.438,33.870,59.659,65.925,49.481,1.761,46.200,Morreu
58.202,45.409,30.117,28.087,44.582,72.695,77.248,62.839,1.631,56.700,Nascido
57.216,44.883,29.230,27.986,41.613,72.249,75.159,60.351,1.736,56.700,Nascido
55.775,42.465,29.655,26.120,35.712,63.820,68.821,52.663,1.787,50.000,Nascido
60.126,43.531,31.969,28.158,42.911,72.769,75.153,59.657,1.696,56.500,Nascido
57.690,44.056,30.350,27.340,40.755,69.949,73.900,58.629,1.716,53.800,Nascido
59.177,45.295,32.369,26.809,44.636,75.334,78.007,63.570,1.688,60.000,Nascido
56.161,43.631,30.576,25.587,41.678,68.940,71.573,55.980,1.654,53.400,Nascido
55.695,43.859,28.981,26.714,40.605,68.209,71.566,56.097,1.680,52.900,Nascido
56.566,43.507,29.179,27.388,37.982,66.818,71.675,56.063,1.759,53.900,Nascido
59.129,46.571,31.945,27.185,47.484,74.547,80.703,67.147,1.570,62.500,Nascido
56.255,42.945,28.137,28.118,37.493,65.274,70.226,54.323,1.741,53.000,Nascido
56.986,42.177,30.134,26.852,37.406,65.556,69.364,53.079,1.753,52.300,Morreu
58.631,43.008,32.467,26.163,44.437,69.945,72.654,56.784,1.574,51.200,Nascido
58.771,42.196,30.884,27.887,44.941,70.932,71.064,54.790,1.578,51.900,Nascido
60.733,45.425,30.866,29.867,47.158,73.109,79.801,65.616,1.550,58.400,Nascido
58.702,42.910,30.117,28.587,42.424,69.554,72.473,56.595,1.639,53.300,Nascido
61.057,44.836,32.157,28.901,45.985,69.957,78.858,64.269,1.521,58.100,Nascido
57.636,42.939,31.453,26.184,36.736,63.105,71.554,55.642,1.718,52.400,Nascido
58.965,44.056,32.652,26.313,40.194,68.460,75.173,59.925,1.703,53.000,Nascido
57.087,42.510,29.905,27.185,38.941,66.864,70.133,54.017,1.717,51.100,Nascido
54.938,43.160,29.087,25.852,36.471,65.004,69.434,53.584,1.782,52.500,Nascido
57.385,41.537,30.449,26.936,35.038,62.734,68.437,51.841,1.790,50.000,Nascido
58.656,45.076,29.951,28.705,41.481,69.715,76.985,62.403,1.681,56.200,Nascido
60.103,44.696,30.812,29.290,41.895,71.970,77.602,62.869,1.718,60.000,Nascido
59.020,45.211,29.905,29.117,43.711,72.567,77.634,63.169,1.660,57.100,Nascido
57.702,43.409,30.117,27.587,34.188,67.696,72.564,56.934,1.980,52.700,Nascido
55.506,42.695,27.887,27.619,35.782,63.142,69.016,52.978,1.765,51.300,Nascido
58.562,44.754,32.670,25.891,35.519,67.315,76.265,61.415,1.895,58.700,Nascido
55.719,44.675,30.866,24.853,37.079,67.780,73.311,58.229,1.828,53.000,Nascido
58.717,43.276,29.396,29.323,31.935,63.761,73.249,57.581,1.997,54.100,Nascido
57.813,43.756,30.924,26.889,37.371,66.598,73.402,57.957,1.782,55.300,Morreu
61.059,45.441,30.992,30.069,39.969,72.072,80.165,66.018,1.803,62.300,Nascido
58.357,43.531,30.698,27.659,35.819,66.187,73.445,57.901,1.848,56.300,Morreu
59.162,44.881,30.326,28.837,42.407,71.226,77.071,62.399,1.680,60.000,Nascido
57.718,43.676,29.601,28.118,35.517,64.493,73.127,57.651,1.816,55.700,Nascido
58.674,45.394,31.588,27.087,41.232,71.352,77.707,63.308,1.731,59.600,Nascido
61.350,44.754,30.924,30.425,39.626,70.121,78.955,64.338,1.770,58.700,Nascido
61.202,45.909,31.851,29.351,40.430,72.727,81.337,67.540,1.799,62.100,Nascido
59.039,44.037,31.037,28.003,57.150,72.509,75.167,59.948,1.269,55.200,Nascido
60.203,44.855,30.503,29.702,61.458,76.335,78.040,63.422,1.242,58.500,Nascido
63.314,43.323,33.790,29.525,54.749,75.359,77.785,62.221,1.376,58.800,Nascido
62.055,48.995,31.152,30.903,74.021,85.757,89.127,77.999,1.159,67.100,Nascido
55.105,44.268,28.049,27.057,54.178,69.774,71.829,56.542,1.288,54.400,Nascido
59.981,44.357,30.475,29.508,60.345,75.422,76.755,61.794,1.250,57.400,Morreu
59.539,45.231,30.634,28.907,62.240,76.745,78.195,63.780,1.233,60.000,Nascido
59.520,43.963,29.867,29.655,59.422,74.529,75.467,60.235,1.254,55.500,Nascido
58.218,43.676,30.351,27.868,56.561,71.944,73.612,58.150,1.272,54.200,Nascido
60.038,42.945,30.384,29.655,55.970,71.912,73.814,57.977,1.285,56.300,Nascido
57.735,41.927,30.866,26.869,52.384,68.594,69.557,53.142,1.309,53.600,Nascido
55.453,44.675,28.368,27.087,55.869,70.983,73.005,57.952,1.271,52.700,Nascido
59.429,44.578,30.226,29.203,60.912,75.885,76.686,61.837,1.246,60.000,Nascido
